state,name,hs_grad_2016,homeownership_2010,age_under_5_2017,age_over_65_2017,female_2010,black_2017,white_not_hispanic_2017,per_capita_income_2017,median_household_income_2017,density_2010,poverty_2017,unemployment_rate_2016,median_age_2019
Alabama,Franklin County,75.7,69.2,6,16.3,50.1,2.42,77.68,18783.03,39501,50,23,5.89,38.6
Alabama,Geneva County,77.8,71.6,5.5,19,51.1,4.59,83.99,20741.87,39293,46.6,22.5,5.79,43.2
Alabama,Greene County,77,71.1,6,19.4,52.8,40.16,17.1,12330.36,20954,14,38.8,9.96,40.9
Alabama,Hale County,81.4,74.3,6.3,18.1,52.6,29.35,39.51,19196.55,34679,24.5,26.1,7.67,40.5
Alabama,Henry County,80.6,81.9,5.4,21,52,13.92,68.71,23562,45569,30.8,13.7,6.53,44.4
Alabama,Houston County,84.9,67.4,6.1,16.5,52,13.37,67.2,23573.18,42803,175.1,18.5,5.8,40.1
Alabama,Jackson County,79.5,76.6,5.3,18.7,50.9,1.62,89.32,20061.42,39281,49.4,19,6.32,43.1
Alabama,Jefferson County,89,66.8,6.5,14.6,52.6,21.29,50.38,29259.76,49321,592.5,17.6,5.75,37.7
Alabama,Lamar County,77.5,75.1,4.8,20.6,51.3,5.42,86.02,21848.7,36016,24.1,23.1,5.64,44.8
Alabama,Lauderdale County,84.9,73,5.1,18.9,52.1,5.03,84.9,25827.78,44888,138.8,16.3,6.38,41
Alabama,Lawrence County,77.6,78.7,5.5,16.8,51.1,5.71,76.58,21896.84,43779,49.7,16.6,6.92,42.4
Alabama,Lee County,88.7,64.2,5.9,10.8,50.7,11.54,67.6,26160,47564,230.8,22,5.24,31.9
Alabama,Limestone County,83.2,77.1,5.8,14.3,49.4,6.57,77.19,25685.4,52831,147.8,14.8,5.26,39.7
Alabama,Lowndes County,74.9,75.4,6.3,17.4,53.2,37.26,24.27,18901.26,29785,15.8,30.2,10.58,42
Alabama,Macon County,80.4,68,4.9,17.8,54.2,41.08,15.46,21921.66,32308,35.2,25.9,7.63,38.6
Alabama,Madison County,90.8,70.4,5.8,14,50.9,12.08,65.15,34416.12,61318,417.7,13.6,5.14,38.5
Alabama,Marengo County,83.8,73.5,6.1,18.7,52.9,27.07,45.12,20738.37,32255,21.5,25.6,7.16,42.2
Alabama,Marion County,80,75.8,5.1,20.4,50.3,1.67,91.95,21682.7,35719,41.5,17.6,6.64,44.3
Alabama,Marshall County,78.6,72.5,6.7,16.6,50.7,1.1,81.77,21785.98,41104,164.4,21,5.34,38.8
Alabama,Mobile County,85.8,68.4,6.6,14.9,52,17.67,57.54,23639.54,45802,335.9,19.3,6.64,37.9
Alabama,Monroe County,82.1,73.8,5.9,18.6,51.8,20.76,54.46,15964.5,26036,22.5,33.7,9.08,43.3
Alabama,Montgomery County,85.6,63.2,6.8,13.7,52.4,28.64,35.19,26622.04,46545,292.5,20.8,5.68,36.4
Alabama,Morgan County,82.5,73.1,5.9,16.3,50.7,6.21,76.37,24454.9,47529,206.3,16.6,5.54,40.6
Alabama,Perry County,76.4,67.8,5.8,18.5,53,34.79,29.37,11800.68,22973,14.7,41.9,10.33,36.9
Alabama,Pickens County,81.1,74.1,5.6,18.1,52.3,20.3,54.11,19887.9,36220,22.4,22.9,6.88,42.2
Alabama,Pike County,80,56.3,5.6,14.3,52.3,19,56.36,20558.82,35684,48.9,26.3,6.51,31.2
Alabama,Randolph County,77.3,75.9,5.6,19.7,51.5,9.99,75.26,20401.61,39485,39.5,18.7,5.59,43.4
Alabama,Russell County,82.6,62.3,7.4,13,52.2,21.33,47.8,20603.92,38988,82.6,20.9,5.56,36.3
Alabama,St. Clair County,83.5,82.2,6,15.5,49.9,4.67,86.24,24731.8,53483,132.3,13.7,5.2,40.3
Alabama,Shelby County,91.5,80.6,6,13.7,51,5.91,78.51,34709.33,74063,248.5,8.3,4.31,39.3
Alabama,Sumter County,80,68.3,5.3,16.4,54.5,35.42,24.59,14308.71,21663,15.2,36,7.71,35.6
Alabama,Talladega County,79.8,73,5.4,16.5,51.3,16.07,63.12,21548.16,39219,111.7,19.3,6.61,41.3
Alabama,Tallapoosa County,79.6,73.3,5.4,19.9,51.5,13.76,68.9,22228.57,42181,58.1,21.2,5.59,44.7
Alabama,Tuscaloosa County,88.1,63.3,6,12.1,51.5,15.65,62.4,24579.41,50513,147.3,17.3,5.66,33
Alabama,Walker County,78.5,77.7,6.2,18.3,51.3,3.05,89.39,20704.31,38872,84.7,21.5,7.45,42.1
Alabama,Washington County,79.7,83,3.6,17.3,50.8,12.3,65.13,19907.22,42185,16.3,22,8.64,43.7
Alabama,Wilcox County,79.8,76.8,5,17.8,52.7,36.06,26.9,14415.88,27012,13.1,31.9,14.44,40.5
Alabama,Winston County,76,73.8,5,20.6,50.9,0.26,94.11,19518.8,35362,39.9,18.7,7.1,45.2
Alaska,Aleutians East Borough,84.3,59.2,2.9,8.2,33.4,2.62,15.46,30891.7,66607,0.4,16.7,2.7,42.5
Alaska,Aleutians West Census Area,87.5,36.3,4.3,5.5,33.1,2.55,24.81,28443.14,85192,1.3,7.5,3.34,38.6
Alaska,Anchorage Municipality,93.3,61.7,7.4,9.4,49.2,2.74,59.19,38324.82,82271,171.2,8.1,5.56,33.6
Alaska,Bethel Census Area,80.9,61.3,10.5,7.1,47.7,0.33,10.17,17802.36,53853,0.4,27,14.34,27.3
Alaska,Bristol Bay Borough,92.6,56.6,5.2,9.7,45.8,0.22,50.27,38984.1,79500,2,7.1,7,42.9
Alaska,Denali Borough,96.2,60.7,3.5,7.6,45.1,0.09,82.72,39316.88,83295,0.1,15.5,9.12,42.1
Alaska,Dillingham Census Area,86.9,60.7,9.8,8.1,47.6,0.22,16.24,21804.82,58708,0.3,16.6,9.7,30.2
Alaska,Fairbanks North Star Borough,94.4,59.8,7.8,8.7,47.2,2.12,71.08,34968.82,76250,13.3,7.7,5.92,31.3
Alaska,Haines Borough,95.4,74.5,6.5,22.5,49.2,0.02,78.95,37141.41,70640,1.1,8.4,10.31,44.7
Alaska,Hoonah Angoon Census Area,90.6,64,5.3,19,45.8,1.44,43.57,29040.32,57900,0.3,11.1,11.93,49.6
Alaska,Juneau City and Borough,95.6,64,5.9,11.3,49,0.53,65.41,41254.44,90749,11.6,7.4,4.52,38.1
Alaska,Kenai Peninsula Borough,92.8,72.7,6.3,14.8,47.6,0.27,80.99,32050.39,65279,3.4,11,8.59,40.8
Alaska,Ketchikan Gateway Borough,92,59.1,6.2,13.5,48.7,0.27,64.42,32635.69,67321,2.8,10.6,6.58,39.7
Alaska,Kodiak Island Borough,90.7,59.2,8,8.8,47,0.1,50.11,29922.97,74167,2.1,9.3,5.19,33.9
Alaska,Kusilvak Census Area,NA,64.8,NA,NA,47.1,NA,NA,NA,NA,0.4,NA,NA,24.1
Alaska,Lake and Peninsula Borough,86.4,75,6.7,7.5,47.3,0.35,21.75,20957.43,45208,0.1,16.5,12.63,34.8
Alaska,Matanuska-Susitna Borough,92.4,79.2,7.3,10.1,48.3,0.56,79.92,27306.48,74887,3.6,9.8,8.29,35.2
Alaska,Nome Census Area,84.9,56.2,9.9,7.3,46.7,0.38,14.85,21509.23,53821,0.4,24.9,12.8,28.3
Alaska,North Slope Borough,88.3,48.3,7.6,6.1,37.4,0.33,31.28,28886.59,77266,0.1,10.2,6.84,35.2
Alaska,Northwest Arctic Borough,79.2,53.7,10.3,7.2,46.4,0.38,11.1,19824.44,61533,0.2,25.3,16.11,27.8
Alaska,Petersburg Borough,92.4,76.7,6.7,16.7,48,0.29,67.15,33142.29,63490,1.2,7.8,9.08,42.8
Alaska,Prince of Wales-Hyder Census Area,90.5,69,6,13.8,44.8,0.08,45.28,23990.18,52114,1.4,16,12.25,41.3
Alaska,Sitka City and Borough,92.7,55.9,5.1,13.9,49.5,0.48,62.41,35002.92,70765,3.1,9.2,4.66,39.5
Alaska,Skagway,96.5,59.1,3.9,11.3,48.3,0.43,78.61,38150.23,70673,2.1,5.6,11.26,40.4
Alaska,Southeast Fairbanks Census Area,90.7,65.2,7.2,12.2,44.3,0.86,74.93,24596.05,63866,0.3,13.9,10.82,36.8
Alaska,Valdez-Cordova Census Area,92.8,71.8,5.8,11.8,46.6,0.07,70.22,30746.27,86019,0.3,7.4,8.65,38.1
Alaska,Wrangell,88.2,78.7,4.6,22.4,47.6,0.08,64.44,30153.57,56094,0.9,11.7,7.58,49.4
Alaska,Yakutat City and Borough,94.4,61.1,7,13.9,45.6,0.44,43.7,29311.67,64583,0.1,6.2,8.57,36.9
Alaska,Yukon-Koyukuk Census Area,82.9,69.1,7.9,12.6,45.8,0.05,21.35,19447.74,37819,0,25.5,17.98,35.2
Arizona,Apache County,78.3,76.3,7.2,13.8,50.1,0.25,18.45,12119.78,32360,6.4,35.9,11.45,35
Arizona,Cochise County,86.6,69,6.1,20.4,49,1.89,55.65,26016.1,47847,21.3,18.1,6.22,41.1
Arizona,Coconino County,88.9,61.2,5.8,11.1,50.4,0.72,54.29,27266.04,53523,7.2,21,6.01,30.7
Arizona,Gila County,84.3,78.3,5.7,27,50.3,0.28,62.77,22383.06,41179,11.3,21.9,7.22,50.2
Arizona,Graham County,85.4,72,7.5,12.9,46.3,0.99,51.17,18615.46,48173,8.1,21.4,6.72,33.6
Arizona,Greenlee County,87.9,46.9,7.4,11.8,47.9,1.02,47.58,25331.52,56298,4.6,11.5,7.57,34.5
Arizona,La Paz County,75.1,75.4,4.6,37.3,48.5,0.43,58.73,20799.13,36479,4.6,19.7,6.03,56.5
Arizona,Maricopa County,86.9,66.3,6.7,14.1,50.5,2.68,56.31,29379.27,58580,414.9,15.7,4.57,36.4
Arizona,Mohave County,83.9,71.5,4.5,28,50,0.54,78.02,23135.98,41567,15,18.6,6.61,51.6
Arizona,Navajo County,81.5,72.5,7.4,16.3,50,0.41,41.64,16942.02,38798,10.8,29.1,8.25,37.3
Arizona,Pima County,87.8,64.6,5.9,18.1,50.9,1.73,52.62,27560.82,48676,106.7,18.3,4.95,38.5
Arizona,Pinal County,84.9,77.7,6.1,18.6,47.5,2.25,57.44,22823.51,52628,70,15.5,5.53,39.3
Arizona,Santa Cruz County,74.8,71,7.1,16.3,52.4,0.25,15.04,19324.75,39630,38.3,21.8,10.02,36.7
Arizona,Yavapai County,90.1,72.5,4.3,28.9,51,0.26,80.9,27384.28,48259,26,14.7,4.92,53.4
Arizona,Yuma County,71.8,69.6,7.4,17.6,49.9,1.04,31.82,20730.32,43253,35.5,19.7,18.8,34.6
Arkansas,Arkansas County,82.5,64.4,6.5,18.1,51.5,13.22,70.15,23320,38532,19.2,20.7,3.38,40.7
Arkansas,Ashley County,83.9,72.4,5.4,18.7,51.5,12.78,68.01,20481.75,36407,23.6,21.3,6.25,41.7
Arkansas,Baxter County,87.2,76.6,4.3,30.5,51.8,0.09,95.1,24550.68,40072,74.9,12.6,4.26,52.2
Arkansas,Benton County,87.2,70.1,7.2,13,50.7,0.82,74.22,30406.57,61271,261.2,10.5,2.9,35.4
Arkansas,Boone County,85,72.7,6.1,19.8,51,0.19,94.24,21939.27,40727,62.5,15.8,3.65,42.3
Arkansas,Bradley County,79.9,70.2,6.3,18.4,51.5,14.64,55.88,21690.25,36310,17.7,26.4,5.23,40.6
Arkansas,Calhoun County,83.2,82.1,5.7,21,49.3,11.13,72.6,21168.98,37225,8.5,19.6,4.58,44.5
Arkansas,Carroll County,83.8,69.5,5.5,21.5,50.7,0.67,80.6,20973.23,39686,43.6,15.7,3.53,45
Arkansas,Chicot County,80,69.6,6.2,19.2,50.9,27.08,39.14,21140.76,32412,18.3,29.4,6.55,43.3
Arkansas,Clark County,86.5,67.6,5.2,15.6,52.3,11.93,69.08,23008.97,37144,26.6,21.5,4.39,33.7
Arkansas,Clay County,79.1,74,5.7,20.9,51.1,0.34,95.77,18479.49,32219,25.2,22.3,5.61,42.8
Arkansas,Cleburne County,83.3,77.9,4.8,26,50.8,0.3,94.82,25146.38,42312,46.9,15.4,5.9,49.4
Arkansas,Cleveland County,86.1,78,4.9,19.5,50.7,5.51,84.7,23134.4,44840,14.5,19.3,4.48,42.9
Arkansas,Columbia County,85.1,69.8,6,16.6,52.3,17.48,59.36,21401.68,37072,32.1,25.1,5.68,35.7
Arkansas,Conway County,85,75.8,5.9,18.5,50.5,5.59,81.79,21757.71,39638,38.5,18.5,5.69,42.5
Arkansas,Craighead County,87.9,61.2,7,13.1,51.2,6.7,77.34,25814.29,45672,136.4,18.3,3.22,34.2
Arkansas,Crawford County,85.4,73,6.2,15.6,50.7,0.67,85.05,21998.06,43504,104.4,16.6,3.87,38.6
Arkansas,Crittenden County,81.8,58.2,7.7,12.8,52.5,24.52,43.18,20365.77,38558,83.5,23.5,4.49,35.2
Arkansas,Cross County,80.6,70.7,6.2,17.6,51.8,11.4,72.96,22523.02,41081,29,18,4.39,40.9
Arkansas,Dallas County,83.5,70.5,4.8,20.6,51,20.17,53.22,19361.09,35794,12.2,13.2,4.98,43.9
Arkansas,Desha County,76.2,59.1,6.7,17.6,53.1,23.75,45.73,18310.43,27036,16.9,32.6,5.41,40.1
Arkansas,Drew County,81.6,67.5,6.1,16.4,51.5,14.39,66.93,20589.6,36092,22.3,24.4,5.76,37.4
Arkansas,Faulkner County,91.1,66.4,6.3,11.5,50.9,5.71,80.64,25076.32,50316,174.8,16.3,3.78,32.8
Arkansas,Franklin County,81.1,78.8,5.5,18.7,50.5,0.49,92.42,19290.2,39472,29.8,21.9,4,41.2
Arkansas,Fulton County,83.9,79.6,4.8,25,51,0.17,95.56,20378.11,36051,19.8,23,4.3,48.4
Arkansas,Garland County,88.3,70.1,5.4,22.6,51.5,4.08,82.58,25211.3,41672,141.7,19.1,4.27,45
Arkansas,Grant County,90,80.3,5.6,17,50.3,1.47,93.01,24961.45,49968,28.3,14.4,3.58,41
Arkansas,Greene County,85.2,65.7,6.3,15.3,51,0.52,93.87,21840.93,45566,72.9,15.9,4.26,38
Arkansas,Hempstead County,78.7,68.4,7.4,17.1,51.8,14.81,55.19,18050.91,38701,31.1,25.3,3.76,40.4
Arkansas,Hot Spring County,85.9,76,5.1,18,48.9,5.47,82.8,21119.14,40626,53.5,15.8,3.92,41.3
Arkansas,Howard County,79.4,69.6,6.4,17,51.7,10.43,64.96,22078.33,34851,23.4,21,3.25,39.2
Arkansas,Independence County,84.4,72.8,6.4,16.9,51,1.02,89.16,22888.49,39945,48,18.5,4.92,39.3
Arkansas,Izard County,83.9,79.7,4.7,24.8,48.5,0.95,93.53,19656.79,39135,23.6,17.7,5.57,47.9
Arkansas,Jackson County,76.6,69.8,5.7,16.3,50.4,8.51,77.23,21982.25,32783,28.4,25.1,6.2,39.7
Arkansas,Jefferson County,84.2,64.4,6,15.9,50.8,28.18,39.59,21648.54,37630,88.9,24.7,5.57,38.7
Arkansas,Johnson County,79,68.8,6.7,15.8,50.4,0.9,80.35,18732.81,35758,38.7,22.5,4.72,38.4
Arkansas,Lafayette County,80.2,79.2,4.9,22.3,51.7,18.95,59.28,23877.69,32500,14.5,23.8,5.88,47
Arkansas,Lawrence County,81.8,67.2,5.5,19.3,51.4,0.47,95.77,19281.3,37603,29.6,18.4,4.29,40.8
Arkansas,Lee County,69.4,66.3,5.2,17.8,44.3,28.45,40.68,18200,27901,17.3,27.3,4.68,42.5
Arkansas,Lincoln County,79,69.3,4.3,14.3,39.9,15.69,64.55,21773.59,38873,25.2,17.9,4.78,39
Arkansas,Little River County,86,71.2,5.1,19.9,51.4,10.24,73.2,23527.04,36963,24.7,18.8,4.64,42.9
Arkansas,Logan County,82.8,79.1,5.6,18.8,49.9,1.06,90.82,19604.69,37982,31.6,20.2,4.56,42
Arkansas,Lonoke County,88.1,74.4,6.9,12.7,50.8,3.01,86.53,24807.04,57290,88.7,12.3,3.31,36.2
Arkansas,Madison County,80.3,75.3,6,18.2,49.9,0.29,90.16,22991.02,42894,18.8,17.8,3.18,42.7
Arkansas,Marion County,85.9,81.6,4.4,27,50.2,0.09,94.67,18241.98,36113,27.9,19.5,3.96,52.2
Arkansas,Miller County,85.5,66.3,6.6,15.7,50.8,12.33,69.43,22106.83,41862,69.5,21,4.16,39.5
Arkansas,Mississippi County,80.3,59.9,7.2,13.8,51.6,17.57,58.72,20394.35,36417,51.6,25.6,6.74,36.6
Arkansas,Monroe County,78.2,61.4,6,22,52.2,20.39,54.37,20108.6,31584,13.4,28.6,4.78,47.3
Arkansas,Montgomery County,79.7,82.8,4.7,25.8,50.1,0.14,90.94,21246.75,35252,12.2,18.1,5.15,50.4
Arkansas,Nevada County,83.2,71.3,6.1,19.5,51,16.72,63.36,18558.26,36995,14.6,23,3.7,44.3
Arkansas,Newton County,80.4,79.7,4.4,23.9,49.5,0.01,94.32,17848.59,38134,10.1,17.8,3.86,49
Arkansas,Ouachita County,86.1,69.8,6.4,18.6,52.6,20.45,55.55,18942.08,32136,35.6,26,5.03,43
Arkansas,Perry County,82.2,81.7,5.9,18.9,50.4,1.16,92.25,20908.39,46168,18.9,17.8,4.74,43.7
Arkansas,Phillips County,76.4,54.7,7.3,16.9,53.4,31.38,34.57,17125.1,26652,31.3,33,5.85,38.9
Arkansas,Pike County,81.4,74.8,5.7,19.3,50.4,1.4,87.56,19614.92,36893,18.8,17.3,4.26,43.1
Arkansas,Poinsett County,78.8,66.4,6.5,17.2,51.4,2.8,87.4,18204.4,37487,32.4,21.4,4.26,40.1
Arkansas,Polk County,84.3,77.4,6.1,21.6,50.8,0.25,88.03,18338.96,33870,24.1,26.6,4.86,43.9
Arkansas,Pope County,83.5,69.7,6.3,14.7,50.4,1.47,84.74,21764.09,40668,76,19.8,4.58,35.3
Arkansas,Prairie County,82.4,72.6,5.4,22.7,50.5,6.69,84.96,23499.52,41244,13.4,16.8,3.8,47.2
Arkansas,Pulaski County,90.1,60.4,6.9,14,51.9,18.05,53.19,28876.31,48850,503.8,17.3,3.53,37.2
Arkansas,Randolph County,83.3,76.6,5.7,19.9,51,0.47,95.06,21382.4,35930,27.6,20.9,4.58,41.1
Arkansas,St. Francis County,77.9,58.7,6.3,14.6,45.5,27.78,40.39,17542.57,33102,44.5,27.5,5.17,38.8
Arkansas,Saline County,89.2,77.7,6,16.8,50.6,3.21,85.87,27566.04,58985,148,8,3.1,39.6
Arkansas,Scott County,76.5,75.1,6.4,19.4,49.6,0.1,84.49,16957.74,37396,12.6,20.5,3.7,40.7
Arkansas,Searcy County,84.6,75,4.6,24.9,50.2,0.09,93.45,20376.17,36716,12.3,17.4,4.54,47.9
Arkansas,Sebastian County,82.5,63.4,6.6,14.8,51,3.38,70.44,23596.4,40932,236.4,22.5,3.7,37.6
Arkansas,Sevier County,69.7,74.2,8.1,14,50.4,2.42,58.34,17783.86,43675,30.2,21.2,4.88,35.3
Arkansas,Sharp County,83.3,80.8,5,25.6,50.6,0.28,93.87,20732.03,31792,28.6,23.3,5.4,47.6
Arkansas,Stone County,76.5,80.4,4.6,25.8,50.6,0.04,94.94,19135.06,33091,20.4,24.2,5.12,50.1
Arkansas,Union County,83.8,71.2,6.6,16.8,51.3,16.35,61.08,23174.59,41106,40.1,20.1,5.44,40.3
Arkansas,Van Buren County,84.3,78.5,4.7,25.1,50.1,0.23,93.68,19608.3,34428,24.4,19.6,6.84,48
Arkansas,Washington County,84.2,56.3,7.2,10.9,50,1.74,71.92,26841.8,47452,215.6,18,2.73,32
Arkansas,White County,84,69,6.5,15.4,51,2.03,88.44,23714.84,44074,74.5,16.6,5.17,36.9
Arkansas,Woodruff County,75.5,61.5,5.8,21.6,52.5,13.74,69.2,19152.38,30097,12.4,26,5.45,45.5
Arkansas,Yell County,77.9,70.1,6.4,16.5,50.1,1.21,75.58,19234.16,39696,23.9,17.8,4.44,40.3
California,Alameda County,87.3,55.1,6,12.8,51,5.54,32.21,40686.83,85743,2043.6,11.3,4.28,37.6
California,Alpine County,91.1,73.4,1.9,27.5,48.4,0.75,64.59,23696.35,63438,1.6,19.8,6.46,52.2
California,Amador County,88.4,77.3,3.9,25.6,45.5,1.07,79.27,31931.22,60636,64.1,10.6,5.96,50.5
California,Butte County,88.2,61.2,5.5,17.3,50.5,0.75,72.9,26083.07,46516,134.4,20.5,6.61,37.1
California,Calaveras County,90.4,78.8,4.2,25.7,49.9,0.29,81.97,30857.6,54800,44.7,12.8,5.67,52
California,Colusa County,68,64.4,7.2,13.4,48.6,0.46,36.31,25121.85,56481,18.6,14,15.58,35.3
California,Contra Costa County,89.1,69.5,5.8,14.6,51.2,4.29,44.93,42237.76,88456,1465.2,9.8,4.46,39.7
California,Del Norte County,82.1,60.9,6,15.9,44.4,0.9,62.8,22359.6,41287,28.4,23.2,7.53,39.5
California,El Dorado County,92.7,76.5,4.6,18.9,50,0.48,78.45,37106.69,74885,106,9.8,5.14,45.9
California,Fresno County,73.7,55,8.1,11.4,50,2.46,30.23,21715.19,48730,156.2,25.4,9.51,32.2
California,Glenn County,72.6,67.5,7.3,14.9,49.5,0.39,52.49,21158.99,46260,21.4,19.6,8.34,36.4
California,Humboldt County,90.3,57.6,5.5,16.1,49.8,0.59,74.88,24853.5,43718,37.7,20.8,4.93,38.4
California,Imperial County,67.1,56.6,8.4,12.1,48.6,1.33,11.32,16484.08,44779,41.8,23.8,23.64,32.4
California,Inyo County,88.5,64,5.7,21.8,49.6,0.48,63.52,29925.11,51500,1.8,10.2,5.29,45.8
California,Kern County,73.6,61.4,8.2,10.2,48.4,2.74,35.35,21636.25,50826,103.3,22.6,10.41,31.6
California,Kings County,72.9,56,7.9,9.5,43.6,3.2,33.11,20890.25,49742,110.1,20.9,9.97,31.8
California,Lake County,83.7,67.1,5.6,21.2,49.8,1.16,71.7,23179.58,40446,51.5,22.8,6.72,45.6
California,Lassen County,81.4,63.7,4.5,12.7,35.8,4.37,66.13,29714.91,54083,7.7,14.6,6.93,36.6
California,Los Angeles County,77.8,48.2,6.3,12.5,50.7,4.1,26.49,29852.16,61015,2419.6,17,5.25,36.5
California,Madera County,71.7,63,7.6,13.1,51.8,1.6,35.06,19793.62,48210,70.6,22.1,9.24,34.1
California,Marin County,93.2,64,4.8,20.3,50.8,1.1,71.46,67062.81,104703,485.1,8.1,3.28,46.8
California,Mariposa County,89.5,70,4.3,26,49.2,0.61,81.03,29095.96,51385,12.6,15.1,6.86,51.7
California,Mendocino County,86.6,62.8,5.9,19.7,49.9,0.35,65.92,26789.6,46528,25.1,19.1,5.28,43.1
California,Merced County,68.6,55.9,8,10.7,49.7,1.61,28.83,19528.79,46338,132.2,23.3,10.59,31.1
California,Modoc County,86.5,70.2,4.2,24.6,49.6,0.36,78.02,21661.54,39296,2.5,18.1,7.81,47.8
California,Mono County,84,56.4,3.5,13.7,46.9,0.26,66.07,26569.29,60595,4.7,9.9,5.36,37.7
California,Monterey County,70.9,53.4,7.6,12.4,48.6,1.3,30.61,26688.79,63249,126.5,14.7,7.66,34.4
California,Napa County,83.9,65.1,5.3,17.4,50.1,1.06,53.2,39845.16,79637,182.4,8.2,4.29,41.3
California,Nevada County,93.3,74,4.3,24.4,50.6,0.29,85.38,34552.07,60610,103.1,12.1,4.78,50.5
California,Orange County,84.4,60.8,6,13.5,50.5,0.84,41.4,36768.09,81851,3807.7,12.1,4.04,38.1
California,Placer County,94.2,72.9,5.4,18.2,51.2,0.77,73.8,38988.81,80488,247.6,8.2,4.49,42
California,Plumas County,91.9,65.6,4.4,25.8,50,0.43,83.53,31098.64,50266,7.8,13.3,9.73,52.3
California,Riverside County,80.5,70,6.7,13.5,50.2,3.16,36.57,24557.06,60807,303.8,15.6,6.13,35.6
California,Sacramento County,86.8,59.5,6.6,13,51,4.93,45.75,29240.94,60239,1470.8,16.7,5.42,36.2
California,San Benito County,78.3,64.3,6.6,11.7,50,0.38,35.57,28994.33,80760,39.8,9.7,6.83,35.7
California,San Bernardino County,78.8,65.1,7.3,10.6,50.3,4.21,29.82,22388.22,57156,101.5,18.2,5.78,33.3
California,San Diego County,86.4,55.9,6.5,12.9,49.8,2.51,46.2,33502.79,70588,735.8,13.3,4.72,35.8
